Time resolution is 1 ps
[CASE 1] PASS: a=00001111(4369), b=00001111(4369), product=0000000001234321(19088161), cycles=1
[CASE 2] PASS: a=00001111(4369), b=00002222(8738), product=0000000002468642(38176322), cycles=1
[CASE 3] PASS: a=00000002(2), b=ffffffff(-1), product=fffffffffffffffe(-2), cycles=1
[CASE 4] PASS: a=00000002(2), b=80000000(-2147483648), product=ffffffff00000000(-4294967296), cycles=1
[CASE 5] PASS: a=7fffffff(2147483647), b=7fffffff(2147483647), product=3fffffff00000001(4611686014132420609), cycles=1
[CASE 6] PASS: a=80000000(-2147483648), b=80000000(-2147483648), product=4000000000000000(4611686018427387904), cycles=1
[CASE 7] PASS: a=80000000(-2147483648), b=7fffffff(2147483647), product=c000000080000000(-4611686016279904256), cycles=1
[CASE 8] PASS: a=ffff0001(-65535), b=0000ffff(65535), product=ffffffff0001ffff(-4294836225), cycles=1
[CASE 9] PASS: a=00000000(0), b=ffffffff(-1), product=0000000000000000(0), cycles=1
[CASE 10] PASS: a=12153524(303379748), b=c0895e81(-1064739199), product=fb8466bd5676ff24(-323020309878341852), cycles=1
[CASE 11] PASS: a=8484d609(-2071669239), b=b1f05663(-1309649309), product=25a714d0c0b5cb7b(2713160187332905851), cycles=1
[CASE 12] PASS: a=06b97b0d(112818957), b=46df998d(1189058957), product=01dc97404d068b29(134148391340247849), cycles=1
[CASE 13] PASS: a=b2c28465(-1295874971), b=89375212(-1992863214), product=23d6e37c5ec8a91a(2582501559649216794), cycles=1
[CASE 14] PASS: a=00f3e301(15983361), b=06d7cd0d(114806029), product=000684e90501540d(1834986206483469), cycles=1
[CASE 15] PASS: a=3b23f176(992211318), b=1e8dcd3d(512609597), product=070ef881b1ea071e(508617043858818846), cycles=1
[CASE 16] PASS: a=76d457ed(1993627629), b=462df78c(1177417612), product=209366461f9ec09c(2347332282154401948), cycles=1
[CASE 17] PASS: a=7cfde9f9(2097015289), b=e33724c6(-482925370), product=f1f2290070c8fa96(-1012701884335981930), cycles=1
[CASE 18] PASS: a=e2f784c5(-487095099), b=d513d2aa(-720121174), product=04de2d2d86e6c4d2(350767494541526226), cycles=1
[CASE 19] PASS: a=72aff7e5(1924134885), b=bbd27277(-1143836041), product=e174d9d04d0a3573(-2200894829208390285), cycles=1
[CASE 20] PASS: a=8932d612(-1993157102), b=47ecdb8f(1206705039), product=de9f2e58771efa0e(-2405152718502036978), cycles=1
[CASE 21] PASS: a=793069f2(2033215986), b=e77696ce(-411658546), product=f462695c16950cbc(-836990736500716356), cycles=1
[CASE 22] PASS: a=f4007ae8(-201295128), b=e2ca4ec5(-490058043), product=015e7648b4e14488(98646296493114504), cycles=1
[CASE 23] PASS: a=2e58495c(777537884), b=de8e28bd(-561108803), product=f9f2029a7bac88ec(-436283351378392852), cycles=1
[CASE 24] PASS: a=96ab582d(-1767155667), b=b2a72665(-1297668507), product=1fd3051cb00b77c1(2293182256032479169), cycles=1
[CASE 25] PASS: a=b1ef6263(-1309711773), b=0573870a(91457290), product=fe56724751b50cde(-119782689439675170), cycles=1
[CASE 26] PASS: a=c03b2280(-1069866368), b=10642120(274997536), product=fbeac10120d6d000(-294210615049269248), cycles=1
[CASE 27] PASS: a=557845aa(1433945514), b=cecccc9d(-825439075), product=ef92e28c91be3142(-1183634658676559550), cycles=1
[CASE 28] PASS: a=cb203e96(-887079274), b=8983b813(-1987856365), product=1878ce638d227522(1763386181080479010), cycles=1
[CASE 29] PASS: a=86bc380d(-2034485235), b=a9a7d653(-1448618413), product=28e688362b5c0a37(2947192772397632055), cycles=1
[CASE 30] PASS: a=359fdd6b(899669355), b=eaa62ad5(-358208811), product=fb87119b39b8c807(-322269489947686905), cycles=1
[CASE 31] PASS: a=81174a02(-2129180158), b=d7563eae(-682213714), product=142883e5ec6cc95c(1452555903364286812), cycles=1
[CASE 32] PASS: a=0effe91d(251652381), b=e7c572cf(-406490417), product=fe9493e4a50d6873(-102294281291732877), cycles=1
[CASE 33] PASS: a=11844923(293882147), b=0509650a(84501770), product=005839fe2140aa5e(24833561592900190), cycles=1
[CASE 34] PASS: a=e5730aca(-445445430), b=9e314c3c(-1640936388), product=0a24d8fbaad47f58(730947614955306840), cycles=1
[CASE 35] PASS: a=7968bdf2(2036907506), b=452e618a(1160667530), product=20cf3a467deb1674(2364172403827480180), cycles=1
[CASE 36] PASS: a=20c4b341(549761857), b=ec4b34d8(-330615592), product=fd7a42630a6b72d8(-181759841811074344), cycles=1
[CASE 37] PASS: a=3c20f378(1008792440), b=c48a1289(-997584247), product=f208b50d9d70bb38(-1006355446636692680), cycles=1
[CASE 38] PASS: a=75c50deb(1975848427), b=5b0265b6(1526883766), product=29de26471d6b9c12(3016890887262936082), cycles=1
[CASE 39] PASS: a=634bf9c6(1665923526), b=571513ae(1460999086), product=21c6febfe86b7694(2433912748831897236), cycles=1
[CASE 40] PASS: a=de7502bc(-562756932), b=150fdd2a(353361194), product=fd3d851a1792bed8(-198856461423296808), cycles=1
[CASE 41] PASS: a=85d79a0b(-2049467893), b=b897be71(-1198014863), product=2212f3f8dcfc28db(2455292997055293659), cycles=1
[CASE 42] PASS: a=42f24185(1123172741), b=27f2554f(670192975), product=0a72474c4b3d610b(752742480729694475), cycles=1
[CASE 43] PASS: a=9dcc603b(-1647550405), b=1d06333a(486945594), product=f4ddc60a67db8e5e(-802267410607665570), cycles=1
[CASE 44] PASS: a=bf23327e(-1088212354), b=0aaa4b15(178932501), product=fd4c3a52715a0e56(-194716558120317354), cycles=1
[CASE 45] PASS: a=78d99bf1(2027527153), b=6c9c4bd9(1822182361), product=33459632e400ca49(3694524214645148233), cycles=1
[CASE 46] PASS: a=31230762(824379234), b=2635fb4c(641071948), product=07558f9501ed4718(528486401431127832), cycles=1
[CASE 47] PASS: a=4fa1559f(1335973279), b=47b9a18f(1203347855), product=164f7c96eaded2d1(1607640579621966545), cycles=1
[CASE 48] PASS: a=7c6da9f8(2087561720), b=dbcd60b7(-607297353), product=ee67f94255b98048(-1267770706780127160), cycles=1
[CASE 49] PASS: a=cfc4569f(-809216353), b=ae7d945c(-1367501732), product=0f5b732b8a460d24(1106604764290223396), cycles=1
